index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
11,18202,0.8830000305175781,0.5070000076293946,0.18183407187461853,3,BlockedShot,Arsenal,a,Gabriel Jesus,0,0,0,0,,,
12,18202,0.935,0.6120000076293945,0.3404459059238434,3,MissedShots,Arsenal,a,Gabriel Martinelli,0,0,0,0,,0,0
13,18202,0.875,0.710999984741211,0.04480058327317238,7,SavedShot,Arsenal,a,Oleksandr Zinchenko,0,0,0,0,,0,0
14,18202,0.8169999694824219,0.5640000152587891,0.04902607202529907,8,BlockedShot,Arsenal,a,Thomas Partey,0,0,0,0,,0,0
15,18202,0.975,0.46900001525878904,0.5384948253631592,19,Goal,Arsenal,a,Gabriel Martinelli,0,0,0,1,,0,0
0,18202,0.92,0.5120000076293946,0.3935762047767639,41,SavedShot,Crystal Palace,h,Odsonne Edouard,0,0,0,0,,0,1
1,18202,0.850999984741211,0.345,0.05573191121220589,45,BlockedShot,Crystal Palace,h,Odsonne Edouard,0,0,0,0,,0,0
2,18202,0.9209999847412109,0.3659999847412109,0.06706040352582932,45,BlockedShot,Crystal Palace,h,Odsonne Edouard,0,0,0,0,,0,0
3,18202,0.765,0.4879999923706055,0.0250832661986351,46,BlockedShot,Crystal Palace,h,Jeffrey Schlupp,0,0,0,0,,0,0
16,18202,0.8269999694824218,0.37400001525878906,0.06403198838233948,50,BlockedShot,Arsenal,a,Martin Odegaard,0,0,0,0,,0,0
4,18202,0.9109999847412109,0.5890000152587891,0.3831236958503723,51,SavedShot,Crystal Palace,h,Eberechi Eze,0,0,0,0,,0,0
17,18202,0.7819999694824219,0.25299999237060544,0.046703848987817764,55,MissedShots,Arsenal,a,Martin Odegaard,0,0,0,0,,0,0
5,18202,0.875,0.30700000762939456,0.04134609177708626,65,BlockedShot,Crystal Palace,h,Jeffrey Schlupp,0,0,0,0,,0,0
18,18202,0.96,0.32799999237060545,0.07888688892126083,69,MissedShots,Arsenal,a,Bukayo Saka,0,0,0,0,,0,0
6,18202,0.9209999847412109,0.705999984741211,0.028413565829396248,71,BlockedShot,Crystal Palace,h,Wilfried Zaha,0,0,0,0,,0,0
7,18202,0.8819999694824219,0.395,0.06403308361768723,80,BlockedShot,Crystal Palace,h,Jordan Ayew,0,0,0,0,,0,0
8,18202,0.894000015258789,0.6140000152587891,0.062172938138246536,80,MissedShots,Crystal Palace,h,Jean-Philippe Mateta,0,0,0,0,,0,0
9,18202,0.91,0.47200000762939454,0.0895635187625885,80,MissedShots,Crystal Palace,h,Jeffrey Schlupp,0,0,0,0,,0,0
10,18202,0.045999999046325686,0.5470000076293945,0,84,OwnGoal,Crystal Palace,h,Marc Guehi,0,0,0,1,,0,0
19,18202,0.95,0.27700000762939453,0.05762733146548271,84,MissedShots,Arsenal,a,Bukayo Saka,0,0,0,0,,0,1
20,18202,0.9290000152587891,0.33,0.09606436640024185,86,BlockedShot,Arsenal,a,Bukayo Saka,0,0,0,0,,0,0
21,18203,0.8859999847412109,0.664000015258789,0.06337210536003113,0,MissedShots,Fulham,h,Aleksandar Mitrovic,0,0,0,0,,0,0
30,18203,0.9290000152587891,0.35900001525878905,0.016877776011824608,21,MissedShots,Liverpool,a,Mohamed Salah,0,0,0,0,,0,0
22,18203,0.8530000305175781,0.44299999237060544,0.06387635320425034,23,BlockedShot,Fulham,h,João Palhinha,0,0,0,0,,0,0
23,18203,0.8380000305175781,0.43900001525878907,0.06264717876911163,23,BlockedShot,Fulham,h,João Palhinha,0,0,0,0,,0,0
31,18203,0.7780000305175782,0.49700000762939456,0.02267308346927166,28,BlockedShot,Liverpool,a,Jordan Henderson,0,0,0,0,,0,0
24,18203,0.85,0.5029999923706054,0.07890216261148453,30,BlockedShot,Fulham,h,Harrison Reed,0,0,0,0,,0,0
25,18203,0.9640000152587891,0.5670000076293945,0.08710415661334991,31,Goal,Fulham,h,Aleksandar Mitrovic,0,0,1,0,,0,0
32,18203,0.9259999847412109,0.6869999694824219,0.061388105154037476,38,ShotOnPost,Liverpool,a,Luis Díaz,0,0,0,0,,1,0
26,18203,0.8169999694824219,0.6609999847412109,0.04672102630138397,55,BlockedShot,Fulham,h,Andreas Pereira,0,0,0,0,,0,0
27,18203,0.8930000305175781,0.295,0.06615827232599258,56,ShotOnPost,Fulham,h,Neeskens Kebano,0,0,0,0,,0,0
28,18203,0.8230000305175781,0.295,0.03826546669006348,57,SavedShot,Fulham,h,Bobby Reid,0,0,0,0,,0,0
33,18203,0.960999984741211,0.4420000076293945,0.5341293215751648,60,SavedShot,Liverpool,a,Darwin Núñez,0,0,0,0,,0,0
34,18203,0.9519999694824218,0.47200000762939454,0.5847207307815552,63,Goal,Liverpool,a,Darwin Núñez,0,0,0,1,,0,0
35,18203,0.965,0.585999984741211,0.45676350593566895,66,BlockedShot,Liverpool,a,Darwin Núñez,0,0,0,0,,0,1
36,18203,0.9159999847412109,0.5220000076293946,0.11667156964540482,68,BlockedShot,Liverpool,a,Luis Díaz,0,0,0,0,,0,0
29,18203,0.885,0.5,0.7611688375473022,71,Goal,Fulham,h,Aleksandar Mitrovic,0,0,1,0,,0,0
37,18203,0.925,0.29100000381469726,0.0970819965004921,75,MissedShots,Liverpool,a,Darwin Núñez,0,0,0,0,,1,0
38,18203,0.875,0.61,0.05921857804059982,79,MissedShots,Liverpool,a,Fabio Carvalho,0,0,0,0,,0,0
39,18203,0.9209999847412109,0.48,0.37489941716194153,79,Goal,Liverpool,a,Mohamed Salah,0,0,0,1,,0,0
40,18203,0.750999984741211,0.37099998474121093,0.016681650653481483,93,ShotOnPost,Liverpool,a,Jordan Henderson,0,0,0,0,,0,1
41,18204,0.919000015258789,0.43099998474121093,0.10186923295259476,1,Goal,Bournemouth,h,Jefferson Lerma,0,0,1,0,,0,0
48,18204,0.774000015258789,0.5279999923706055,0.029255198314785957,3,MissedShots,Aston Villa,a,Danny Ings,0,0,0,0,,1,0
49,18204,0.8369999694824218,0.5159999847412109,0.06019921228289604,6,SavedShot,Aston Villa,a,Danny Ings,0,0,0,0,,0,0
42,18204,0.8369999694824218,0.500999984741211,0.08674071729183197,8,SavedShot,Bournemouth,h,Dominic Solanke,0,0,0,0,,0,0
43,18204,0.8090000152587891,0.4540000152587891,0.049508895725011826,8,BlockedShot,Bournemouth,h,Dominic Solanke,0,0,0,0,,0,0
50,18204,0.7269999694824218,0.43400001525878906,0.014811373315751553,14,MissedShots,Aston Villa,a,John McGinn,0,0,0,0,,0,0
51,18204,0.9480000305175781,0.575999984741211,0.08875220268964767,16,MissedShots,Aston Villa,a,Danny Ings,0,0,0,0,,0,0
52,18204,0.7959999847412109,0.3890000152587891,0.03658315911889076,20,SavedShot,Aston Villa,a,Jacob Ramsey,0,0,0,0,,0,0
44,18204,0.889000015258789,0.29100000381469726,0.2622811496257782,21,MissedShots,Bournemouth,h,Adam Smith,0,0,0,0,,0,0
53,18204,0.7240000152587891,0.40400001525878904,0.015351141802966595,36,BlockedShot,Aston Villa,a,John McGinn,0,0,0,0,,0,0
54,18204,0.8780000305175781,0.4179999923706055,0.07671184092760086,44,BlockedShot,Aston Villa,a,Leon Bailey,0,0,0,0,,0,0
55,18204,0.7530000305175781,0.500999984741211,0.022302718833088875,44,MissedShots,Aston Villa,a,Jacob Ramsey,0,0,0,0,,0,0
56,18204,0.7430000305175781,0.575,0.01755376346409321,59,MissedShots,Aston Villa,a,Diego Carlos,0,0,0,0,,0,0
57,18204,0.899000015258789,0.44,0.03559381514787674,60,BlockedShot,Aston Villa,a,Philippe Coutinho,0,0,0,0,,0,0
58,18204,0.7019999694824218,0.4929999923706055,0.015612097457051277,64,MissedShots,Aston Villa,a,Boubacar Kamara,0,0,0,0,,0,0
